م,اسم الطبق (عربي),اسم الوجبة (إنجليزي),الدولة,المكونات لـ 4 أفراد,مستوى السهولة,مستوى التكلفة,يحتوي على بروتين,ملاحظة التوافق الشرعي
14,كيش لورين (بديل حلال),Chicken Quiche Lorraine,فرنسا,عجينة تارت، بيض، كريمة، دجاج مقطع بدل اللحم المقدد,متوسط,متوسط,نعم,استبدال اللحم المقدد بدجاج
15,بوف بورجينون (بديل حلال),Beef Bourguignon (halal),فرنسا,لحم بقري، جزر، فطر، مرقة لحم بدل النبيذ,صعب,مرتفع,نعم,استبدال النبيذ بمرقة لحم وعصير عنب
16,فيش آند تشيبس,Fish and Chips,بريطانيا,فيليه سمك، دقيق، بطاطس، خل,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
17,شيبردز باي بالدجاج,Chicken Shepherd's Pie,بريطانيا,دجاج مفروم، بطاطس مهروسة، جزر، بازلاء,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
18,روست بيف بالفرن,Roast Beef,بريطانيا,لحم بقري كتلة، بطاطس، جزر، بهارات,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
19,شنيتزل دجاج,Chicken Schnitzel,ألمانيا,فيليه دجاج، بقسماط، بيض، دقيق,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
20,جولاش لحم,Beef Goulash,المجر,لحم بقري، بصل، فلفل بابريكا، بطاطس,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
21,بيروجي بالبطاطس والجبنة,Pierogi,بولندا,عجينة، بطاطس مهروسة، جبنة، بصل,متوسط,منخفض,لا,حلال (بدون خمور أو خنزير)
22,بورش بالدجاج (بديل حلال),Chicken Borscht,روسيا/أوكرانيا,شمندر، دجاج، جزر، ملفوف,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
23,بيف ستروجانوف,Beef Stroganoff,روسيا,شرائح لحم بقري، فطر، كريمة، بصل,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
24,كورما دجاج,Chicken Korma,الهند,دجاج، زبادي، مكسرات، بهارات كورما,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
25,بتر تشيكن (دجاج بالزبدة),Butter Chicken,الهند,دجاج، طماطم، زبدة، كريمة، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
26,بيرياني لحم,Mutton Biryani,الهند,أرز بسمتي، لحم ضاني، زبادي، بهارات بيرياني,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
27,تندوري دجاج,Tandoori Chicken,الهند,دجاج، زبادي، بهارات تندوري، ليمون,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
28,دال (عدس هندي),Dal (Lentil Curry),الهند,عدس، طماطم، بصل، بهارات هندية,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
29,ساغ بانير (نباتي),Saag Paneer,الهند,سبانخ، جبنة بانير، ثوم، بهارات,سهل,متوسط,لا,حلال (بدون خمور أو خنزير)
30,نيهاري لحم,Nihari,باكستان,لحم بقري، دقيق، بهارات نيهاري,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
31,بيرياني كراتشي,Karachi Biryani,باكستان,أرز، لحمة أو دجاج، بطاطس، بهارات,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
32,كباب سيخ باكستاني,Seekh Kebab,باكستان,لحمة مفرومة، بصل، بهارات، كزبرة,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
33,رامن دجاج (بديل حلال بدون ميسو خنزير),Chicken Ramen,اليابان,نودلز، مرقة دجاج، بيض، دجاج مشوي,متوسط,متوسط,نعم,استبدال مرقة عظام الخنزير بمرقة دجاج
34,تيرياكي دجاج,Chicken Teriyaki,اليابان,دجاج، صوص تيرياكي، أرز، بروكلي,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
35,سوشي سلمون وأفوكادو,Salmon Avocado Sushi,اليابان,أرز سوشي، سلمون، أفوكادو، خل أرز، نوري,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
36,تمبورا جمبري,Shrimp Tempura,اليابان,جمبري، دقيق تمبورا، زيت للقلي,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
37,بولجوجي لحم (بديل حلال),Beef Bulgogi,كوريا,شرائح لحم بقري، صويا صوص، ثوم، سكر، سمسم,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
38,بيبيمباب دجاج,Chicken Bibimbap,كوريا,أرز، دجاج، خضار مشكلة، بيض، صوص كوتشوجانغ,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
39,كونغ باو دجاج (بديل حلال),Kung Pao Chicken,الصين,دجاج، فول سوداني، فلفل حار، صويا صوص,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
40,أرز مقلي بالدجاج,Chicken Fried Rice,الصين,أرز، دجاج، بيض، خضار، صويا صوص,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
41,دجاج بالليمون الصيني,Lemon Chicken,الصين,دجاج، ليمون، دقيق، سكر,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
42,دمبلينغ دجاج (بديل حلال),Chicken Dumplings,الصين,عجينة، دجاج مفروم، ملفوف، ثوم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
43,توم يام جمبري (بديل حلال بدون صوص سمك مخمر بالكحول),Tom Yum Shrimp,تايلاند,جمبري، ليمون حامض، فلفل حار، حليب جوز الهند,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
44,باد تاي دجاج,Chicken Pad Thai,تايلاند,نودلز أرز، دجاج، بيض، فول سوداني، ليمون,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
45,كاري أخضر بالدجاج,Green Chicken Curry,تايلاند,دجاج، حليب جوز الهند، بهارات كاري أخضر,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
46,فو بو (بديل حلال),Beef Pho,فيتنام,نودلز أرز، لحم بقري، مرقة، كزبرة، نعناع,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
47,رول فيتنامي بالجمبري,Vietnamese Shrimp Rolls,فيتنام,ورق أرز، جمبري، خس، نودلز شعيرية,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
48,ناسي جورينج دجاج,Chicken Nasi Goreng,إندونيسيا,أرز، دجاج، بيض، صويا صوص، فلفل حار,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
49,رانداغ لحم,Beef Rendang,إندونيسيا,لحم بقري، حليب جوز الهند، بهارات راندانغ,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
50,ساتيه دجاج,Chicken Satay,إندونيسيا/ماليزيا,صدور دجاج، صوص فول سوداني، بهارات ساتيه,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
51,لاكسا دجاج,Chicken Laksa,ماليزيا,نودلز، دجاج، حليب جوز الهند، بهارات لاكسا,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
52,أدوبو دجاج (بديل حلال),Chicken Adobo,الفلبين,دجاج، صويا صوص، خل، ثوم، ورق لوري,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
53,تاكوس لحمة,Beef Tacos,المكسيك,خبز تاكو، لحمة مفرومة، جبنة، خس، طماطم,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
54,إنشيلادا دجاج,Chicken Enchiladas,المكسيك,تورتيا، دجاج، صلصة إنشيلادا، جبنة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
55,فاهيتا دجاج,Chicken Fajitas,المكسيك,دجاج، فلفل رومي، بصل، تورتيا,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
56,غواكامولي مع تاكوس,Guacamole with Tacos,المكسيك,أفوكادو، ليمون، طماطم، بصل، تورتيا,سهل,متوسط,لا,حلال (بدون خمور أو خنزير)
57,تشيلي كون كارني,Chili con Carne,المكسيك/أمريكا,لحمة مفرومة، فاصوليا حمراء، طماطم، فلفل حار,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
58,برجر أمريكي كلاسيك,Classic American Burger,أمريكا,لحمة مفرومة، خبز برجر، جبنة، خس، طماطم,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
59,دجاج مقلي أمريكي,American Fried Chicken,أمريكا,دجاج، دقيق، بقسماط، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
60,ماك آند تشيز (نباتي),Mac and Cheese,أمريكا,مكرونة، جبنة شيدر، حليب، زبدة,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
61,باربكيو ريبس (بديل حلال بلحم بقري),BBQ Beef Ribs,أمريكا,أضلاع لحم بقري، صوص باربكيو، بهارات,صعب,مرتفع,نعم,استخدام لحم بقري بدل الخنزير
62,فيغادا برازيلية بالدجاج,Brazilian Chicken Feijoada (halal),البرازيل,دجاج، فاصوليا سوداء، بصل، بهارات,صعب,متوسط,نعم,استبدال لحم الخنزير بدجاج ولحم بقري
63,تشوراسكو لحم,Churrasco Beef,البرازيل,لحم بقري شرائح، ثوم، ملح بحري,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
64,إمبانادا لحمة,Beef Empanadas,الأرجنتين,عجينة، لحمة مفرومة، بصل، بيض مسلوق,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
65,أساادو أرجنتيني,Asado (Argentine Grilled Beef),الأرجنتين,لحم بقري مشوي، ملح، بهارات,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
66,سيفيتشي سمك,Fish Ceviche,بيرو,سمك أبيض، ليمون، بصل، فلفل حار، كزبرة,سهل,مرتفع,نعم,حلال (بدون خمور أو خنزير)
67,طاجين مغربي بالدجاج,Moroccan Chicken Tagine,المغرب,دجاج، زيتون، ليمون مخلل، بصل، زعفران,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
68,كسكسي مغربي باللحم,Moroccan Couscous with Lamb,المغرب,كسكسي، لحم ضاني، خضار، حمص,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
69,بسطيلة دجاج,Chicken Pastilla,المغرب,عجينة ورقة، دجاج، مكسرات، سكر بودرة,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
70,شكشوكة تونسية,Tunisian Shakshouka,تونس,بيض، طماطم، فلفل، بصل، هريسة,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
71,كسكسي تونسي بالحوت (سمك),Tunisian Fish Couscous,تونس,كسكسي، سمك، خضار، هريسة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
72,كسكسي جزائري باللحم,Algerian Couscous with Lamb,الجزائر,كسكسي، لحم ضاني، خضار، حمص,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
73,شخشوخة جزائرية,Algerian Chakhchoukha,الجزائر,رقائق خبز، لحمة، صلصة طماطم، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
74,طاجين نيجيري بالدجاج,Nigerian Jollof Rice with Chicken,نيجيريا,أرز، دجاج، طماطم، بصل، فلفل حار,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
75,سوبا كينيري (شوربة لحم شرق أفريقي),East African Beef Soup,كينيا,لحم بقري، بطاطس، طماطم، بهارات,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
76,دورو وات إثيوبي (بديل حلال),Doro Wat (Ethiopian Chicken Stew),إثيوبيا,دجاج، بصل، بهارات بربري، بيض مسلوق,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
77,إنجيرا بالدجاج,Injera with Chicken Stew,إثيوبيا,إنجيرا (خبز مخمر)، دجاج، بهارات,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
78,تاجين سنغالي بالسمك (تيبودين),Senegalese Thieboudienne,السنغال,أرز، سمك، طماطم، خضار,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
79,غولاب جامون كطبق حلو مرافق (اختياري),Gulab Jamun (dessert side),الهند,دقيق حليب، سكر، هيل,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
80,بيروجي دجاج تركي (مانتي),Turkish Manti with Chicken,تركيا,عجينة صغيرة، دجاج مفروم، زبادي، زبدة,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
81,إسكندر كباب تركي,Turkish Iskender Kebab,تركيا,لحمة، خبز بيتا، صلصة طماطم، زبادي,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
82,لحم كباب تركي,Turkish Lamb Kebab,تركيا,لحم ضاني، بصل، بهارات، خبز,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
83,خورش قيمة إيراني,Persian Khoresh Gheimeh,إيران,لحم بقري، عدس أصفر، طماطم، ليمون عماني,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
84,تشلو كباب إيراني,Persian Chelo Kebab,إيران,لحمة مفرومة أو ضاني، أرز، زعفران,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
85,فسنجان دجاج إيراني,Persian Chicken Fesenjan,إيران,دجاج، جوز، دبس رمان، بصل,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
86,بلوف أوزبكي (بيلاف),Uzbek Plov,أوزبكستان,أرز، لحم ضاني، جزر، بصل,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
87,لغمان أوزبكي,Uzbek Lagman,أوزبكستان,نودلز يدوية، لحم بقري، خضار,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
88,بلوف أفغاني (قابلي),Afghan Kabuli Palaw,أفغانستان,أرز، لحم ضاني، جزر، زبيب,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
89,منتو أفغاني,Afghan Mantu,أفغانستان,عجينة، لحمة مفرومة، زبادي، نعناع,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
90,بلاو باكستاني بالدجاج,Chicken Pulao,باكستان,أرز، دجاج، بهارات بيرياني خفيفة,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
91,سمبوسة سنغافورية بالدجاج,Singapore Chicken Curry Puffs,سنغافورة,عجينة، دجاج، بطاطس، بهارات كاري,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
92,حساء لكسا سنغافوري بالدجاج,Singapore Laksa,سنغافورة,نودلز، دجاج، حليب جوز الهند، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
93,خضار سوتيه فيتنامي بالدجاج,Vietnamese Chicken Stir-fry,فيتنام,دجاج، خضار مشكلة، صويا صوص,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
94,كاري ياباني بالدجاج,Japanese Chicken Curry,اليابان,دجاج، بطاطس، جزر، صوص كاري ياباني,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
95,أونيغيري بالسلمون,Salmon Onigiri,اليابان,أرز، سلمون، نوري، ملح,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
96,باستا بيستو بالدجاج,Chicken Pesto Pasta,إيطاليا,مكرونة، دجاج مشوي، صوص بيستو، صنوبر,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
97,بروشيتا طماطم (نباتي),Tomato Bruschetta,إيطاليا,خبز إيطالي، طماطم، ثوم، ريحان، زيت زيتون,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
98,سلطة قيصر بالدجاج,Chicken Caesar Salad,إيطاليا/أمريكا,خس روماني، دجاج مشوي، جبنة بارميزان، صوص قيصر,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
99,كباب برازيلي دجاج (فرانجو),Frango Grelhado,البرازيل,دجاج مشوي، ليمون، ثوم، بهارات,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
100,خضار مكسيكية بالجبنة (كيساديا),Cheese Quesadilla,المكسيك,تورتيا، جبنة، فلفل رومي,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
